/raid/home/automatants/peytevin_pau/Can-t-Stop/env/lib/python3.10/site-packages/gymnasium/envs/registration.py:487: UserWarning: [33mWARN: The environment creator metadata doesn't include `render_modes`, contains: ['render.modes'][0m
  logger.warn(
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1755550275/ppo_cant_stop_0
---------------------------------
| rollout/           |          |
|    iterations           | 12          |
|    time_elapsed         | 52          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.007045015 |
|    clip_fraction        | 0.0446      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.276       |
|    learning_rate        | 0.0003      |
|    loss                 | 165         |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 347         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.7         |
|    ep_rew_mean          | 26.1         |
| time/                   |              |
|    fps                  | 470          |
|    iterations           | 13           |
|    time_elapsed         | 56           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0043864283 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.65        |
|    explained_variance   | 0.159        |
|    learning_rate        | 0.0003       |
|    loss                 | 139          |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0146      |
|    value_loss           | 287          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 31.8         |
|    ep_rew_mean          | 26.8         |
| time/                   |              |
|    fps                  | 469          |
|    iterations           | 14           |
|    time_elapsed         | 61           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0060051484 |
|    clip_fraction        | 0.0251       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.65        |
|    explained_variance   | 0.199        |
|    learning_rate        | 0.0003       |
|    loss                 | 158          |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.0134      |
|    value_loss           | 324          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.8         |
|    ep_rew_mean          | 22.9         |
| time/                   |              |
|    fps                  | 469          |
|    iterations           | 15           |
|    time_elapsed         | 65           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0058294255 |
|    clip_fraction        | 0.0286       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.65        |
|    explained_variance   | 0.256        |
|    learning_rate        | 0.0003       |
|    loss                 | 229          |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.013       |
|    value_loss           | 447          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 29.1        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 16          |
|    time_elapsed         | 69          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.008751826 |
|    clip_fraction        | 0.0633      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.61       |
|    explained_variance   | 0.197       |
|    learning_rate        | 0.0003      |
|    loss                 | 116         |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 237         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.9        |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 17          |
|    time_elapsed         | 74          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.007174045 |
|    clip_fraction        | 0.0532      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.263       |
|    learning_rate        | 0.0003      |
|    loss                 | 147         |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0187     |
|    value_loss           | 235         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.2        |
|    ep_rew_mean          | 25.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 18          |
|    time_elapsed         | 78          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.007584205 |
|    clip_fraction        | 0.0561      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | 0.173       |
|    learning_rate        | 0.0003      |
|    loss                 | 109         |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 265         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.5        |
|    ep_rew_mean          | 22.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 19          |
|    time_elapsed         | 83          |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.006341594 |
|    clip_fraction        | 0.0443      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.272       |
|    learning_rate        | 0.0003      |
|    loss                 | 195         |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0186     |
|    value_loss           | 301         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.1        |
|    ep_rew_mean          | 21.8        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 20          |
|    time_elapsed         | 87          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.007498979 |
|    clip_fraction        | 0.0581      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.235       |
|    learning_rate        | 0.0003      |
|    loss                 | 150         |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0172     |
|    value_loss           | 343         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.3        |
|    ep_rew_mean          | 23.4        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 21          |
|    time_elapsed         | 91          |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.005888759 |
|    clip_fraction        | 0.0309      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.233       |
|    learning_rate        | 0.0003      |
|    loss                 | 126         |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.015      |
|    value_loss           | 300         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.8        |
|    ep_rew_mean          | 20.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 22          |
|    time_elapsed         | 96          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.009146755 |
|    clip_fraction        | 0.0745      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.25        |
|    learning_rate        | 0.0003      |
|    loss                 | 127         |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 313         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.5        |
|    ep_rew_mean          | 25          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 23          |
|    time_elapsed         | 100         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.008153716 |
|    clip_fraction        | 0.0936      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.187       |
|    learning_rate        | 0.0003      |
|    loss                 | 176         |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 434         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 27.3        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 24          |
|    time_elapsed         | 105         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007699793 |
|    clip_fraction        | 0.0596      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.163       |
|    learning_rate        | 0.0003      |
|    loss                 | 71.8        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 259         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 32          |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 25          |
|    time_elapsed         | 109         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.009142287 |
|    clip_fraction        | 0.0823      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.157       |
|    learning_rate        | 0.0003      |
|    loss                 | 106         |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 266         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.9        |
|    ep_rew_mean          | 31.1        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 26          |
|    time_elapsed         | 113         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.008123977 |
|    clip_fraction        | 0.061       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.195       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 335         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.3        |
|    ep_rew_mean          | 30.5        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 27          |
|    time_elapsed         | 118         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.007319412 |
|    clip_fraction        | 0.0592      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.367       |
|    learning_rate        | 0.0003      |
|    loss                 | 95.9        |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0174     |
|    value_loss           | 232         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 33.7        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 28          |
|    time_elapsed         | 122         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.007893901 |
|    clip_fraction        | 0.0668      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.23        |
|    learning_rate        | 0.0003      |
|    loss                 | 157         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 335         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.9        |
|    ep_rew_mean          | 34          |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 29          |
|    time_elapsed         | 127         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.007777927 |
|    clip_fraction        | 0.0617      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.45       |
|    explained_variance   | 0.246       |
|    learning_rate        | 0.0003      |
|    loss                 | 181         |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.018      |
|    value_loss           | 368         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.3         |
|    ep_rew_mean          | 37.5         |
| time/                   |              |
|    fps                  | 467          |
|    iterations           | 30           |
|    time_elapsed         | 131          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0096034575 |
|    clip_fraction        | 0.0927       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.109        |
|    learning_rate        | 0.0003       |
|    loss                 | 80.7         |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.0238      |
|    value_loss           | 199          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.5        |
|    ep_rew_mean          | 34.8        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 31          |
|    time_elapsed         | 135         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.006652141 |
|    clip_fraction        | 0.0668      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.241       |
|    learning_rate        | 0.0003      |
|    loss                 | 127         |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0196     |
|    value_loss           | 308         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 37.5        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 32          |
|    time_elapsed         | 140         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.008372851 |
|    clip_fraction        | 0.0767      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.0507      |
|    learning_rate        | 0.0003      |
|    loss                 | 156         |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 265         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.8         |
|    ep_rew_mean          | 36.8         |
| time/                   |              |
|    fps                  | 467          |
|    iterations           | 33           |
|    time_elapsed         | 144          |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0077313418 |
|    clip_fraction        | 0.0588       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.233        |
|    learning_rate        | 0.0003       |
|    loss                 | 111          |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.02        |
|    value_loss           | 303          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.5        |
|    ep_rew_mean          | 33.2        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 34          |
|    time_elapsed         | 148         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.007614611 |
|    clip_fraction        | 0.0708      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.204       |
|    learning_rate        | 0.0003      |
|    loss                 | 113         |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0203     |
|    value_loss           | 248         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.3        |
|    ep_rew_mean          | 34.6        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 35          |
|    time_elapsed         | 153         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.009149942 |
|    clip_fraction        | 0.0837      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.165       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0211     |
|    value_loss           | 304         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.4        |
|    ep_rew_mean          | 26          |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 36          |
|    time_elapsed         | 157         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.008288113 |
|    clip_fraction        | 0.0706      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.217       |
|    learning_rate        | 0.0003      |
|    loss                 | 104         |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 228         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32          |
|    ep_rew_mean          | 30.7        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 37          |
|    time_elapsed         | 162         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.006837378 |
|    clip_fraction        | 0.0439      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.0669      |
|    learning_rate        | 0.0003      |
|    loss                 | 103         |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0184     |
|    value_loss           | 250         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.9        |
|    ep_rew_mean          | 36.9        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 38          |
|    time_elapsed         | 166         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.008164695 |
|    clip_fraction        | 0.0761      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.0003      |
|    loss                 | 161         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0218     |
|    value_loss           | 284         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 38.8        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 39          |
|    time_elapsed         | 170         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.007766476 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.242       |
|    learning_rate        | 0.0003      |
|    loss                 | 104         |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0196     |
|    value_loss           | 274         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.3        |
|    ep_rew_mean          | 34.3        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 40          |
|    time_elapsed         | 175         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.007773874 |
|    clip_fraction        | 0.0792      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.333       |
|    learning_rate        | 0.0003      |
|    loss                 | 106         |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0199     |
|    value_loss           | 266         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.2        |
|    ep_rew_mean          | 34.4        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 41          |
|    time_elapsed         | 179         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.007098361 |
|    clip_fraction        | 0.0559      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.167       |
|    learning_rate        | 0.0003      |
|    loss                 | 175         |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0183     |
|    value_loss           | 307         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.1         |
|    ep_rew_mean          | 34.9         |
| time/                   |              |
|    fps                  | 467          |
|    iterations           | 42           |
|    time_elapsed         | 184          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0075267768 |
|    clip_fraction        | 0.075        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.182        |
|    learning_rate        | 0.0003       |
|    loss                 | 89.3         |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.0229      |
|    value_loss           | 260          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.1         |
|    ep_rew_mean          | 40.8         |
| time/                   |              |
|    fps                  | 467          |
|    iterations           | 43           |
|    time_elapsed         | 188          |
|    total_timesteps      | 88064        |
| train/                  |              |
|    approx_kl            | 0.0072084246 |
|    clip_fraction        | 0.0618       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.196        |
|    learning_rate        | 0.0003       |
|    loss                 | 114          |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.0213      |
|    value_loss           | 278          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 38.9        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 44          |
|    time_elapsed         | 192         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.008806372 |
|    clip_fraction        | 0.0967      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.139       |
|    learning_rate        | 0.0003      |
|    loss                 | 155         |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 255         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 32.8        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 45          |
|    time_elapsed         | 197         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.008417355 |
|    clip_fraction        | 0.0683      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.29       |
|    explained_variance   | 0.237       |
|    learning_rate        | 0.0003      |
|    loss                 | 96.7        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 268         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 29.7        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 46          |
|    time_elapsed         | 201         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.007688108 |
|    clip_fraction        | 0.0694      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | 0.149       |
|    learning_rate        | 0.0003      |
|    loss                 | 135         |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 275         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 37.5        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 47          |
|    time_elapsed         | 205         |
|    total_timesteps      | 96256       |
| train/                  |             |
|    approx_kl            | 0.010535689 |
