Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1756033440/ppo_cant_stop_0
--------------------------------------
| custom/                 |          |
|    iterations           | 9           |
|    time_elapsed         | 40          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.007744398 |
|    clip_fraction        | 0.0382      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.000703    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.55e+04    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0158     |
|    value_loss           | 2.44e+04    |
-----------------------------------------
[HB] 20000 steps...
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 13          |
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | -278        |
| time/                   |             |
|    fps                  | 457         |
|    iterations           | 10          |
|    time_elapsed         | 44          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.008328188 |
|    clip_fraction        | 0.0639      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.014       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.24e+03    |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0156     |
|    value_loss           | 1.89e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 11           |
| rollout/                |              |
|    ep_len_mean          | 37.7         |
|    ep_rew_mean          | -257         |
| time/                   |              |
|    fps                  | 457          |
|    iterations           | 11           |
|    time_elapsed         | 49           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0073929587 |
|    clip_fraction        | 0.0499       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.46        |
|    explained_variance   | 0.0658       |
|    learning_rate        | 0.0003       |
|    loss                 | 7.46e+03     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.0139      |
|    value_loss           | 1.76e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 15          |
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | -193        |
| time/                   |             |
|    fps                  | 456         |
|    iterations           | 12          |
|    time_elapsed         | 53          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.008280396 |
|    clip_fraction        | 0.0406      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.0453      |
|    learning_rate        | 0.0003      |
|    loss                 | 9.07e+03    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0131     |
|    value_loss           | 1.9e+04     |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 16           |
| rollout/                |              |
|    ep_len_mean          | 39.1         |
|    ep_rew_mean          | -217         |
| time/                   |              |
|    fps                  | 455          |
|    iterations           | 13           |
|    time_elapsed         | 58           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0062518977 |
|    clip_fraction        | 0.00874      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.45        |
|    explained_variance   | 0.146        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.38e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00687     |
|    value_loss           | 8.88e+03     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 21           |
| rollout/                |              |
|    ep_len_mean          | 40.2         |
|    ep_rew_mean          | -243         |
| time/                   |              |
|    fps                  | 455          |
|    iterations           | 14           |
|    time_elapsed         | 62           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0044928407 |
|    clip_fraction        | 0.0137       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.43        |
|    explained_variance   | 0.0773       |
|    learning_rate        | 0.0003       |
|    loss                 | 7.26e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00762     |
|    value_loss           | 1.71e+04     |
------------------------------------------
[HB] 30000 steps...
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 19           |
| rollout/                |              |
|    ep_len_mean          | 40.6         |
|    ep_rew_mean          | -243         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 15           |
|    time_elapsed         | 67           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0062919017 |
|    clip_fraction        | 0.0158       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.44        |
|    explained_variance   | 0.0711       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.73e+03     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00833     |
|    value_loss           | 1.36e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 13           |
| rollout/                |              |
|    ep_len_mean          | 41           |
|    ep_rew_mean          | -285         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 16           |
|    time_elapsed         | 72           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0066904323 |
|    clip_fraction        | 0.0164       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.113        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.84e+03     |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00883     |
|    value_loss           | 1.87e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 11           |
| rollout/                |              |
|    ep_len_mean          | 39.5         |
|    ep_rew_mean          | -210         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 17           |
|    time_elapsed         | 76           |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0057107033 |
|    clip_fraction        | 0.0323       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.0918       |
|    learning_rate        | 0.0003       |
|    loss                 | 9.1e+03      |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0116      |
|    value_loss           | 1.86e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 12           |
| rollout/                |              |
|    ep_len_mean          | 39.3         |
|    ep_rew_mean          | -168         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 18           |
|    time_elapsed         | 81           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0017663024 |
|    clip_fraction        | 0.00103      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.0949       |
|    learning_rate        | 0.0003       |
|    loss                 | 5.58e+03     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00555     |
|    value_loss           | 9.33e+03     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 15           |
| rollout/                |              |
|    ep_len_mean          | 39.7         |
|    ep_rew_mean          | -197         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 19           |
|    time_elapsed         | 85           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0067033973 |
|    clip_fraction        | 0.0316       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 0.14         |
|    learning_rate        | 0.0003       |
|    loss                 | 9.38e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0086      |
|    value_loss           | 1.45e+04     |
------------------------------------------
[HB] 40000 steps...
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 15           |
| rollout/                |              |
|    ep_len_mean          | 39.7         |
|    ep_rew_mean          | -224         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 20           |
|    time_elapsed         | 90           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0030845916 |
|    clip_fraction        | 0.00083      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.105        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.29e+03     |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00525     |
|    value_loss           | 1.31e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 22           |
| rollout/                |              |
|    ep_len_mean          | 39.8         |
|    ep_rew_mean          | -252         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 21           |
|    time_elapsed         | 94           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0031407117 |
|    clip_fraction        | 0.00327      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.184        |
|    learning_rate        | 0.0003       |
|    loss                 | 7.09e+03     |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00558     |
|    value_loss           | 1.34e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 15          |
| rollout/                |             |
|    ep_len_mean          | 40          |
|    ep_rew_mean          | -266        |
| time/                   |             |
|    fps                  | 454         |
|    iterations           | 22          |
|    time_elapsed         | 99          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.004426145 |
|    clip_fraction        | 0.0111      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.103       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.97e+03    |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00732    |
|    value_loss           | 1.77e+04    |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 13          |
| rollout/                |             |
|    ep_len_mean          | 39.4        |
|    ep_rew_mean          | -257        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 23          |
|    time_elapsed         | 103         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.008240638 |
|    clip_fraction        | 0.0334      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.117       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.27e+03    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0106     |
|    value_loss           | 1.51e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 22           |
| rollout/                |              |
|    ep_len_mean          | 39.3         |
|    ep_rew_mean          | -244         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 24           |
|    time_elapsed         | 108          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0026927763 |
|    clip_fraction        | 0.00356      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 0.13         |
|    learning_rate        | 0.0003       |
|    loss                 | 7.96e+03     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00622     |
|    value_loss           | 1.78e+04     |
------------------------------------------
[HB] 50000 steps...
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 21          |
| rollout/                |             |
|    ep_len_mean          | 38.6        |
|    ep_rew_mean          | -223        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 25          |
|    time_elapsed         | 112         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.004116928 |
|    clip_fraction        | 0.00923     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.088       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.14e+04    |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00722    |
|    value_loss           | 2.47e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 13           |
| rollout/                |              |
|    ep_len_mean          | 38.4         |
|    ep_rew_mean          | -155         |
| time/                   |              |
|    fps                  | 454          |
|    iterations           | 26           |
|    time_elapsed         | 117          |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0047063166 |
|    clip_fraction        | 0.00347      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.126        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.24e+04     |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00526     |
|    value_loss           | 2.02e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 16           |
| rollout/                |              |
|    ep_len_mean          | 39.5         |
|    ep_rew_mean          | -184         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 27           |
|    time_elapsed         | 121          |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0014062069 |
|    clip_fraction        | 0.000439     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.28        |
|    explained_variance   | 0.142        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.8e+03      |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00357     |
|    value_loss           | 1.35e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 22          |
| rollout/                |             |
|    ep_len_mean          | 40.4        |
|    ep_rew_mean          | -230        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 28          |
|    time_elapsed         | 126         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.004163247 |
|    clip_fraction        | 0.014       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | 0.235       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.45e+03    |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00779    |
|    value_loss           | 1.03e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 13           |
| rollout/                |              |
|    ep_len_mean          | 38.5         |
|    ep_rew_mean          | -196         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 29           |
|    time_elapsed         | 130          |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0023007384 |
|    clip_fraction        | 0.00371      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.178        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.75e+03     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00585     |
|    value_loss           | 1.27e+04     |
------------------------------------------
[HB] 60000 steps...
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 12           |
| rollout/                |              |
|    ep_len_mean          | 36.8         |
|    ep_rew_mean          | -205         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 30           |
|    time_elapsed         | 135          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0010647671 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.257        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.65e+03     |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00452     |
|    value_loss           | 1.14e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 13           |
| rollout/                |              |
|    ep_len_mean          | 36.8         |
|    ep_rew_mean          | -173         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 31           |
|    time_elapsed         | 139          |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0031506051 |
|    clip_fraction        | 0.00488      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.276        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.77e+03     |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00533     |
|    value_loss           | 1.01e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 17           |
| rollout/                |              |
|    ep_len_mean          | 37           |
|    ep_rew_mean          | -177         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 32           |
|    time_elapsed         | 144          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0030139806 |
|    clip_fraction        | 0.00229      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.212        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.74e+03     |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00398     |
|    value_loss           | 9.95e+03     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 12           |
| rollout/                |              |
|    ep_len_mean          | 36.9         |
|    ep_rew_mean          | -180         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 33           |
|    time_elapsed         | 148          |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0019937935 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.152        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.49e+03     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00479     |
|    value_loss           | 7.72e+03     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 13           |
| rollout/                |              |
|    ep_len_mean          | 36.6         |
|    ep_rew_mean          | -161         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 34           |
|    time_elapsed         | 153          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0021871468 |
|    clip_fraction        | 0.00615      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.185        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.22e+03     |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00553     |
|    value_loss           | 8.47e+03     |
------------------------------------------
[HB] 70000 steps...
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 10          |
| rollout/                |             |
|    ep_len_mean          | 36.4        |
|    ep_rew_mean          | -160        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 35          |
|    time_elapsed         | 158         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.006192277 |
|    clip_fraction        | 0.0302      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.192       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.69e+03    |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00932    |
|    value_loss           | 9.76e+03    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 14           |
| rollout/                |              |
|    ep_len_mean          | 37           |
|    ep_rew_mean          | -148         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 36           |
|    time_elapsed         | 162          |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0033503883 |
|    clip_fraction        | 0.00259      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.243        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.18e+03     |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00471     |
|    value_loss           | 1.35e+04     |
------------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 11           |
| rollout/                |              |
|    ep_len_mean          | 38           |
|    ep_rew_mean          | -140         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 37           |
|    time_elapsed         | 167          |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0024469497 |
|    clip_fraction        | 0.000732     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.181        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.97e+03     |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00378     |
|    value_loss           | 1.33e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 10          |
| rollout/                |             |
|    ep_len_mean          | 37.3        |
|    ep_rew_mean          | -116        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 38          |
|    time_elapsed         | 171         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.000578093 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.213       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.32e+03    |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00267    |
|    value_loss           | 9.57e+03    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 27           |
| rollout/                |              |
|    ep_len_mean          | 38.5         |
|    ep_rew_mean          | -127         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 39           |
|    time_elapsed         | 176          |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0023357845 |
|    clip_fraction        | 0.00391      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 0.225        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.94e+03     |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00466     |
|    value_loss           | 1.17e+04     |
------------------------------------------
[HB] 80000 steps...
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 10           |
| rollout/                |              |
|    ep_len_mean          | 39.8         |
|    ep_rew_mean          | -198         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 40           |
|    time_elapsed         | 180          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0018992661 |
|    clip_fraction        | 9.77e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.0416       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.72e+03     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00337     |
|    value_loss           | 1.04e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 10          |
| rollout/                |             |
|    ep_len_mean          | 38.9        |
|    ep_rew_mean          | -192        |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 41          |
|    time_elapsed         | 185         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.005021957 |
|    clip_fraction        | 0.0136      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.0963      |
|    learning_rate        | 0.0003      |
|    loss                 | 5.28e+03    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0055     |
|    value_loss           | 1.74e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 10           |
| rollout/                |              |
|    ep_len_mean          | 39.5         |
|    ep_rew_mean          | -177         |
| time/                   |              |
|    fps                  | 453          |
|    iterations           | 42           |
|    time_elapsed         | 189          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0013949347 |
|    clip_fraction        | 0.000391     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 0.166        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.8e+03      |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00406     |
|    value_loss           | 1.07e+04     |
